,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
689,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,es La Liga,29-347,1992,17,17,1530,17.0,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.7,0.5,2.2,2.7,0.04,0.13,0.17,0.03,0.16,Matches
690,Michael Esser\83e0eeb4,de GER,GK,Bochum,de Bundesliga,34-026,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
691,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,fr Ligue 1,19-206,2002,13,10,949,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
692,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,es La Liga,23-331,1998,12,6,625,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.8,0.06,0.07,0.12,0.06,0.12,Matches
693,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,eng Premier League,26-039,1995,6,4,371,4.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
694,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,eng Premier League,33-349,1988,10,9,752,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,0.5,1.2,0.09,0.05,0.14,0.09,0.14,Matches
695,Eberechi Eze\ae4fc6a4,eng ENG,MF,Crystal Palace,eng Premier League,23-172,1998,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
696,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,es La Liga,20-001,2001,6,3,302,3.4,1,0,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30,0.8,0.8,0.0,0.8,0.24,0.01,0.25,0.24,0.25,Matches
697,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,36-244,1985,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
698,Fabinho\7f3b388c,br BRA,MF,Liverpool,eng Premier League,28-056,1993,12,11,1009,11.2,1,1,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,0.5,1.3,0.07,0.05,0.12,0.07,0.12,Matches
699,Fábio\bc7b4580,br BRA,DF,Nantes,fr Ligue 1,31-162,1990,12,11,822,9.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.06,0.03,0.09,0.06,0.09,Matches
700,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,fr Ligue 1,34-228,1987,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.30,0.30,0.00,0.30,Matches
701,Wout Faes\9c221d14,be BEL,DF,Reims,fr Ligue 1,23-259,1998,18,18,1620,18.0,2,0,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.9,0.9,0.1,1.0,0.05,0.01,0.06,0.05,0.06,Matches
702,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,de Bundesliga,18-142,2003,5,0,122,1.4,1,0,1,0,0,0,0,0.74,0.00,0.74,0.74,0.74,0.4,0.4,0.0,0.4,0.31,0.00,0.31,0.31,0.31,Matches
703,Romain Faivre\745ca0a3,fr FRA,MF,Brest,fr Ligue 1,23-157,1998,17,17,1497,16.6,7,5,2,5,5,1,0,0.42,0.30,0.72,0.12,0.42,6.0,2.2,2.7,4.9,0.36,0.16,0.52,0.13,0.29,Matches
704,Radamel Falcao\66116290,co COL,FW,Rayo Vallecano,es La Liga,35-311,1986,9,4,349,3.9,5,0,5,0,0,1,0,1.29,0.00,1.29,1.29,1.29,2.1,2.1,0.0,2.1,0.55,0.00,0.55,0.55,0.55,Matches
705,Fali\72a84002,es ESP,DFMF,Cádiz,es La Liga,28-128,1993,15,12,930,10.3,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07,Matches
706,Davide Faraoni\aae9d04a,it ITA,DF,Hellas Verona,it Serie A,30-054,1991,16,16,1361,15.1,2,4,2,0,0,4,0,0.13,0.26,0.40,0.13,0.40,1.0,1.0,2.2,3.2,0.07,0.14,0.21,0.07,0.21,Matches
707,Mohamed Fares\b7a5bc86,dz ALG,DFFW,Genoa,it Serie A,25-306,1996,7,5,470,5.2,2,1,2,0,0,2,0,0.38,0.19,0.57,0.38,0.57,1.1,1.1,0.5,1.6,0.22,0.09,0.30,0.22,0.30,Matches
708,Diego Farias\157d29b6,br BRA,MFFW,Cagliari,it Serie A,31-222,1990,4,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
709,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,fr Ligue 1,23-306,1998,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
710,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,de Bundesliga,18-111,2003,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
711,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,es La Liga,19-048,2002,5,3,213,2.4,3,0,3,0,0,0,0,1.27,0.00,1.27,1.27,1.27,1.0,1.0,0.7,1.7,0.44,0.30,0.73,0.44,0.73,Matches
712,Julien Faussurier\767212e6,fr FRA,DFFW,Brest,fr Ligue 1,34-338,1987,8,1,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15,Matches
713,Andrea Favilli\44510fde,it ITA,FW,Genoa,it Serie A,24-215,1997,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
714,Aleix Febas\38126309,es ESP,MF,Mallorca,es La Liga,25-319,1996,4,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
715,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,de Bundesliga,22-275,1999,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.06,0.09,0.15,0.06,0.15,Matches
716,Nabil Fekir\bece776f,fr FRA,MF,Betis,es La Liga,28-153,1993,15,15,1282,14.2,3,3,3,0,0,6,0,0.21,0.21,0.42,0.21,0.42,3.1,3.1,3.7,6.7,0.21,0.26,0.47,0.21,0.47,Matches
717,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,es La Liga,32-216,1989,9,7,697,7.7,1,1,1,0,0,4,0,0.13,0.13,0.26,0.13,0.26,0.4,0.4,0.3,0.7,0.05,0.04,0.09,0.05,0.09,Matches
718,Luiz Felipe\15d0c248,br BRA,DF,Lazio,it Serie A,24-271,1997,15,15,1310,14.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.00,0.01,0.01,0.01,Matches
719,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,de Bundesliga,24-100,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Matches
720,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,es La Liga,22-038,1999,9,3,402,4.5,1,1,1,0,0,3,1,0.22,0.22,0.45,0.22,0.45,1.3,1.3,0.8,2.1,0.29,0.19,0.47,0.29,0.47,Matches
721,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,eng Premier League,30-319,1991,10,10,809,9.0,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.8,0.8,0.00,0.09,0.09,0.00,0.09,Matches
722,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,eng Premier League,27-101,1994,16,16,1379,15.3,5,3,5,0,1,4,0,0.33,0.20,0.52,0.33,0.52,3.6,2.9,4.1,7.0,0.24,0.27,0.51,0.19,0.46,Matches
723,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,de Bundesliga,25-247,1996,7,2,283,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.07,0.09,0.16,0.07,0.16,Matches
724,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,30-229,1991,9,9,806,9.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
725,Álex Fernández\aa677a35,es ESP,MF,Cádiz,es La Liga,29-064,1992,15,11,1049,11.7,3,1,2,1,2,2,0,0.26,0.09,0.34,0.17,0.26,2.4,0.9,0.6,1.5,0.21,0.05,0.26,0.08,0.13,Matches
726,Álvaro Fernández\f127d782,es ESP,GK,Brentford,eng Premier League,23-249,1998,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
727,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,eng Premier League,32-300,1989,7,5,523,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.07,0.06,0.13,0.07,0.13,Matches
728,Fernandinho\101da2b5,br BRA,MF,Manchester City,eng Premier League,36-228,1985,9,3,317,3.5,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.7,0.7,0.6,1.3,0.19,0.18,0.37,0.19,0.37,Matches
729,Fernando\41f32541,br BRA,MFDF,Sevilla,es La Liga,34-146,1987,16,14,1292,14.4,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.4,0.9,0.03,0.03,0.06,0.03,0.06,Matches
730,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,it Serie A,27-170,1994,5,4,230,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
731,Salvador Ferrer\eb76987d,es ESP,DFMF,Spezia,it Serie A,23-331,1998,14,10,937,10.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.7,0.02,0.06,0.07,0.02,0.07,Matches
732,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,fr Ligue 1,29-281,1992,16,16,1385,15.4,0,1,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,0.1,0.1,1.4,1.5,0.01,0.09,0.10,0.01,0.10,Matches
733,Riccardo Fiamozzi\9f9b9269,it ITA,DF,Empoli,it Serie A,28-214,1993,4,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
734,Fidel\eb82b6f1,es ESP,MF,Elche,es La Liga,32-052,1989,15,15,1153,12.8,2,2,1,1,1,4,0,0.16,0.16,0.31,0.08,0.23,1.4,0.7,2.3,3.0,0.11,0.18,0.29,0.05,0.23,Matches
735,Karol Fila\50ac8941,pl POL,DF,Strasbourg,fr Ligue 1,23-188,1998,6,4,306,3.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.00,0.20,0.20,0.00,0.20,Matches
736,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,de Bundesliga,32-320,1989,3,2,141,1.6,1,1,1,0,0,0,0,0.64,0.64,1.28,0.64,1.28,0.4,0.4,0.2,0.6,0.28,0.11,0.40,0.28,0.40,Matches
737,Luca Fiordilino\9bb1ad91,it ITA,MF,Venezia,it Serie A,25-146,1996,3,2,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
738,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,it Serie A,31-339,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
739,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,eng Premier League,30-077,1991,9,4,388,4.3,4,2,4,0,0,0,0,0.93,0.46,1.39,0.93,1.39,4.0,4.0,0.8,4.8,0.93,0.19,1.12,0.93,1.12,Matches
740,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,eng Premier League,25-118,1996,12,9,815,9.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.0,0.04,0.07,0.11,0.04,0.11,Matches
741,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,28-188,1993,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
742,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,eng Premier League,26-077,1995,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,1.16,0.00,1.16,1.16,1.16,Matches
743,Alexis Flips\caef7840,fr FRA,FWMF,Reims,fr Ligue 1,21-334,2000,13,7,586,6.5,1,3,0,1,1,2,0,0.15,0.46,0.61,0.00,0.46,0.9,0.2,1.0,1.2,0.14,0.16,0.30,0.03,0.19,Matches
744,Alessandro Florenzi\e288d4b3,it ITA,DFFW,Milan,it Serie A,30-282,1991,10,5,506,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.04,0.08,0.12,0.04,0.12,Matches
745,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,eng Premier League,21-204,2000,11,9,811,9.0,4,3,4,0,0,0,0,0.44,0.33,0.78,0.44,0.78,4.5,4.5,3.5,8.1,0.50,0.39,0.89,0.50,0.89,Matches
746,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,fr Ligue 1,23-331,1998,1,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
747,Seko Fofana\5313ed43,ci CIV,MF,Lens,fr Ligue 1,26-225,1995,18,18,1606,17.8,5,0,5,0,0,1,0,0.28,0.00,0.28,0.28,0.28,4.9,4.9,2.3,7.2,0.27,0.13,0.40,0.27,0.40,Matches
748,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,fr Ligue 1,22-342,1999,16,10,905,10.1,0,3,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,0.4,0.4,0.9,1.3,0.04,0.09,0.13,0.04,0.13,Matches
749,Thomas Foket\90eb507d,be BEL,DF,Reims,fr Ligue 1,27-084,1994,13,12,1047,11.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.2,0.2,1.2,1.4,0.02,0.10,0.12,0.02,0.12,Matches
750,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,fr Ligue 1,30-224,1991,2,2,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
751,José Fontán\1827a42d,es ESP,DF,Celta Vigo,es La Liga,21-310,2000,4,2,177,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
752,José Fonte\90f87966,pt POR,DF,Lille,fr Ligue 1,37-361,1983,18,18,1620,18.0,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,0.7,1.3,0.03,0.04,0.07,0.03,0.07,Matches
753,Fernando Forestieri\d60c26fc,it ITA,FWMF,Udinese,it Serie A,31-337,1990,4,0,58,0.6,2,1,2,0,0,1,0,3.10,1.55,4.66,3.10,4.66,1.0,1.0,0.1,1.0,1.50,0.13,1.63,1.50,1.63,Matches
754,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,eng Premier League,25-299,1996,17,15,1310,14.6,4,2,4,0,0,3,0,0.27,0.14,0.41,0.27,0.41,2.9,2.9,2.1,5.0,0.20,0.14,0.34,0.20,0.34,Matches
755,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,de Bundesliga,30-056,1991,16,10,919,10.2,4,0,1,3,3,1,0,0.39,0.00,0.39,0.10,0.10,5.6,3.3,1.8,5.1,0.55,0.18,0.72,0.32,0.50,Matches
756,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,eng Premier League,30-071,1991,9,7,651,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.07,0.09,0.02,0.09,Matches
757,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,eng Premier League,22-183,1999,6,1,197,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.2,0.2,0.0,0.2,0.09,0.00,0.09,0.09,0.09,Matches
758,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,de Bundesliga,26-317,1995,11,8,666,7.4,2,1,2,0,0,3,0,0.27,0.14,0.41,0.27,0.41,1.9,1.9,0.7,2.6,0.26,0.09,0.36,0.26,0.36,Matches
759,Francesco Forte\69e11a01,it ITA,FW,Venezia,it Serie A,28-231,1993,10,3,319,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.16,0.03,0.19,0.16,0.19,Matches
760,Steven Fortes\574aa9ec,cv CPV,DF,Lens,fr Ligue 1,29-245,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
761,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,38-259,1983,8,8,720,8.0,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
762,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,es La Liga,28-270,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
763,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,es La Liga,28-270,1993,13,12,1094,12.2,0,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.2,0.7,0.04,0.02,0.06,0.04,0.06,Matches
764,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,es La Liga,23-340,1998,11,11,942,10.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.00,0.09,0.09,0.00,0.09,Matches
765,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,de Bundesliga,26-103,1995,12,6,451,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.03,0.04,0.01,0.04,Matches
766,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,fr Ligue 1,26-250,1995,18,15,1394,15.5,4,4,4,0,0,1,0,0.26,0.26,0.52,0.26,0.52,2.0,2.0,2.5,4.5,0.13,0.16,0.29,0.13,0.29,Matches
767,Enric Franquesa\40883e3a,es ESP,DF,Levante,es La Liga,24-295,1997,9,4,400,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
768,Fransérgio\deba6b05,br BRA,MF,Bordeaux,fr Ligue 1,31-061,1990,14,7,673,7.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.10,0.02,0.12,0.10,0.12,Matches
769,Ryan Fraser\d56543a0,sct SCO,MF,Newcastle Utd,eng Premier League,27-297,1994,12,5,437,4.9,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,0.2,0.7,0.09,0.05,0.14,0.09,0.14,Matches
770,Davide Frattesi\2a7d27c1,it ITA,MF,Sassuolo,it Serie A,22-057,1999,17,17,1401,15.6,3,0,3,0,0,2,0,0.19,0.00,0.19,0.19,0.19,2.5,2.5,1.3,3.8,0.16,0.09,0.25,0.16,0.25,Matches
771,Fred\b853e0ad,br BRA,MF,Manchester Utd,eng Premier League,28-288,1993,13,13,1120,12.4,2,1,2,0,0,4,0,0.16,0.08,0.24,0.16,0.24,0.5,0.5,0.6,1.1,0.04,0.05,0.09,0.04,0.09,Matches
772,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,eng Premier League,29-069,1992,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
773,Remo Freuler\98d2c2c4,ch SUI,MF,Atalanta,it Serie A,29-247,1992,12,11,1037,11.5,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,1.0,1.3,0.02,0.09,0.11,0.02,0.11,Matches
774,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,de Bundesliga,26-005,1995,11,11,989,11.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.0,2.0,0.10,0.09,0.18,0.10,0.18,Matches
775,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,de Bundesliga,21-008,2000,15,15,1292,14.4,1,4,1,0,0,5,0,0.07,0.28,0.35,0.07,0.35,0.3,0.3,1.9,2.1,0.02,0.13,0.15,0.02,0.15,Matches
776,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,es La Liga,24-301,1997,15,12,1036,11.5,2,4,2,0,0,2,0,0.17,0.35,0.52,0.17,0.52,3.2,3.2,1.8,5.0,0.28,0.15,0.43,0.28,0.43,Matches
777,Chris Führich\0cf778df,de GER,FW,Stuttgart,de Bundesliga,23-343,1998,7,4,341,3.8,1,0,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,0.3,0.3,0.1,0.4,0.08,0.03,0.11,0.08,0.11,Matches
778,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,fr Ligue 1,25-120,1996,17,17,1378,15.3,3,2,3,0,0,3,0,0.20,0.13,0.33,0.20,0.33,4.2,4.2,1.1,5.4,0.28,0.07,0.35,0.28,0.35,Matches
779,Marius Funk\86314793,de GER,GK,Greuther Fürth,de Bundesliga,25-351,1996,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
780,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,de Bundesliga,34-098,1987,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
781,Matteo Gabbia\c235e803,it ITA,DF,Milan,it Serie A,22-058,1999,3,2,190,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
782,Manolo Gabbiadini\8f866fe8,it ITA,FWMF,Sampdoria,it Serie A,30-022,1991,11,8,617,6.9,3,1,3,0,0,3,0,0.44,0.15,0.58,0.44,0.58,1.6,1.6,1.1,2.7,0.23,0.16,0.40,0.23,0.40,Matches
783,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,de Bundesliga,26-313,1995,4,1,110,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.21,0.00,0.21,0.21,0.21,Matches
784,Gianluca Gaetano\3b387cc7,it ITA,MF,Napoli,it Serie A,21-227,2000,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
785,Roberto Gagliardini\ce30bfc8,it ITA,MF,Inter,it Serie A,27-255,1994,9,3,335,3.7,2,1,2,0,0,2,0,0.54,0.27,0.81,0.54,0.81,0.8,0.8,0.8,1.7,0.23,0.23,0.46,0.23,0.46,Matches
786,Riccardo Gagliolo\173061c0,se SWE,DF,Salernitana,it Serie A,31-234,1990,12,10,885,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,0.0,0.8,0.08,0.00,0.08,0.08,0.08,Matches
787,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,es La Liga,27-029,1994,18,18,1588,17.6,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
788,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,es La Liga,28-134,1993,15,11,900,10.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.7,0.05,0.03,0.07,0.05,0.07,Matches
789,Nicolas Galazzi\a796492f,it ITA,DF,Venezia,it Serie A,21-000,2000,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
790,Pablo Galdames Millán\dd403465,cl CHI,MF,Genoa,it Serie A,24-353,1996,7,2,259,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.05,0.04,0.09,0.05,0.09,Matches
791,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,es La Liga,32-151,1989,13,2,472,5.2,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,1.2,1.2,0.9,2.2,0.24,0.18,0.41,0.24,0.41,Matches
792,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,eng Premier League,21-315,2000,16,16,1405,15.6,6,3,6,0,0,4,0,0.38,0.19,0.58,0.38,0.58,3.6,3.6,3.0,6.6,0.23,0.19,0.43,0.23,0.43,Matches
